TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
8573,1427,3551,6449,0.75,0.86,0.64,0.77,0.71,
8574,1426,3553,6447,0.75,0.86,0.64,0.77,0.71,
8573,1427,3552,6448,0.75,0.86,0.64,0.77,0.71,
8572,1428,3551,6449,0.75,0.86,0.64,0.77,0.71,
8576,1424,3556,6444,0.75,0.86,0.64,0.77,0.71,
8575,1425,3555,6445,0.75,0.86,0.64,0.77,0.71,
8574,1426,3554,6446,0.75,0.86,0.64,0.77,0.71,
8573,1427,3553,6447,0.75,0.86,0.64,0.77,0.71,
8572,1428,3552,6448,0.75,0.86,0.64,0.77,0.71,
8571,1429,3551,6449,0.75,0.86,0.64,0.77,0.71,
8578,1422,3559,6441,0.75,0.86,0.64,0.77,0.71,
8577,1423,3558,6442,0.75,0.86,0.64,0.77,0.71,
8576,1424,3557,6443,0.75,0.86,0.64,0.77,0.71,
8575,1425,3556,6444,0.75,0.86,0.64,0.77,0.71,
8574,1426,3555,6445,0.75,0.86,0.64,0.77,0.71,
8573,1427,3554,6446,0.75,0.86,0.64,0.77,0.71,
8572,1428,3553,6447,0.75,0.86,0.64,0.77,0.71,
8571,1429,3552,6448,0.75,0.86,0.64,0.77,0.71,
8570,1430,3551,6449,0.75,0.86,0.64,0.77,0.71,
8580,1420,3562,6438,0.75,0.86,0.64,0.77,0.71,
8579,1421,3561,6439,0.75,0.86,0.64,0.77,0.71,
8578,1422,3560,6440,0.75,0.86,0.64,0.77,0.71,
8577,1423,3559,6441,0.75,0.86,0.64,0.77,0.71,
8576,1424,3558,6442,0.75,0.86,0.64,0.77,0.71,
8575,1425,3557,6443,0.75,0.86,0.64,0.77,0.71,
8574,1426,3556,6444,0.75,0.86,0.64,0.77,0.71,
8573,1427,3555,6445,0.75,0.86,0.64,0.77,0.71,
8572,1428,3554,6446,0.75,0.86,0.64,0.77,0.71,
8571,1429,3553,6447,0.75,0.86,0.64,0.77,0.71,
8570,1430,3552,6448,0.75,0.86,0.64,0.77,0.71,
8569,1431,3551,6449,0.75,0.86,0.64,0.77,0.71,
8581,1419,3564,6436,0.75,0.86,0.64,0.77,0.71,
8580,1420,3563,6437,0.75,0.86,0.64,0.77,0.71,
8579,1421,3562,6438,0.75,0.86,0.64,0.77,0.71,
8578,1422,3561,6439,0.75,0.86,0.64,0.77,0.71,
8577,1423,3560,6440,0.75,0.86,0.64,0.77,0.71,
8576,1424,3559,6441,0.75,0.86,0.64,0.77,0.71,
8575,1425,3558,6442,0.75,0.86,0.64,0.77,0.71,
8574,1426,3557,6443,0.75,0.86,0.64,0.77,0.71,
8573,1427,3556,6444,0.75,0.86,0.64,0.77,0.71,
8572,1428,3555,6445,0.75,0.86,0.64,0.77,0.71,
8571,1429,3554,6446,0.75,0.86,0.64,0.77,0.71,
8570,1430,3553,6447,0.75,0.86,0.64,0.77,0.71,
8569,1431,3552,6448,0.75,0.86,0.64,0.77,0.71,
8568,1432,3551,6449,0.75,0.86,0.64,0.77,0.71,
8583,1417,3567,6433,0.75,0.86,0.64,0.77,0.71,
8582,1418,3566,6434,0.75,0.86,0.64,0.77,0.71,
