,TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision
0,8573,1427,3551,6449,0.75,0.86,0.64,0.77,0.71
1,8574,1426,3553,6447,0.75,0.86,0.64,0.77,0.71
2,8573,1427,3552,6448,0.75,0.86,0.64,0.77,0.71
3,8572,1428,3551,6449,0.75,0.86,0.64,0.77,0.71
4,8576,1424,3556,6444,0.75,0.86,0.64,0.77,0.71
5,8575,1425,3555,6445,0.75,0.86,0.64,0.77,0.71
6,8574,1426,3554,6446,0.75,0.86,0.64,0.77,0.71
7,8573,1427,3553,6447,0.75,0.86,0.64,0.77,0.71
8,8572,1428,3552,6448,0.75,0.86,0.64,0.77,0.71
9,8571,1429,3551,6449,0.75,0.86,0.64,0.77,0.71
10,8578,1422,3559,6441,0.75,0.86,0.64,0.77,0.71
11,8577,1423,3558,6442,0.75,0.86,0.64,0.77,0.71
12,8576,1424,3557,6443,0.75,0.86,0.64,0.77,0.71
13,8575,1425,3556,6444,0.75,0.86,0.64,0.77,0.71
14,8574,1426,3555,6445,0.75,0.86,0.64,0.77,0.71
15,8573,1427,3554,6446,0.75,0.86,0.64,0.77,0.71
16,8572,1428,3553,6447,0.75,0.86,0.64,0.77,0.71
17,8571,1429,3552,6448,0.75,0.86,0.64,0.77,0.71
18,8570,1430,3551,6449,0.75,0.86,0.64,0.77,0.71
19,8580,1420,3562,6438,0.75,0.86,0.64,0.77,0.71
20,8579,1421,3561,6439,0.75,0.86,0.64,0.77,0.71
21,8578,1422,3560,6440,0.75,0.86,0.64,0.77,0.71
22,8577,1423,3559,6441,0.75,0.86,0.64,0.77,0.71
23,8576,1424,3558,6442,0.75,0.86,0.64,0.77,0.71
24,8575,1425,3557,6443,0.75,0.86,0.64,0.77,0.71
25,8574,1426,3556,6444,0.75,0.86,0.64,0.77,0.71
26,8573,1427,3555,6445,0.75,0.86,0.64,0.77,0.71
27,8572,1428,3554,6446,0.75,0.86,0.64,0.77,0.71
28,8571,1429,3553,6447,0.75,0.86,0.64,0.77,0.71
29,8570,1430,3552,6448,0.75,0.86,0.64,0.77,0.71
30,8569,1431,3551,6449,0.75,0.86,0.64,0.77,0.71
31,8581,1419,3564,6436,0.75,0.86,0.64,0.77,0.71
32,8580,1420,3563,6437,0.75,0.86,0.64,0.77,0.71
33,8579,1421,3562,6438,0.75,0.86,0.64,0.77,0.71
34,8578,1422,3561,6439,0.75,0.86,0.64,0.77,0.71
35,8577,1423,3560,6440,0.75,0.86,0.64,0.77,0.71
36,8576,1424,3559,6441,0.75,0.86,0.64,0.77,0.71
37,8575,1425,3558,6442,0.75,0.86,0.64,0.77,0.71
38,8574,1426,3557,6443,0.75,0.86,0.64,0.77,0.71
39,8573,1427,3556,6444,0.75,0.86,0.64,0.77,0.71
40,8572,1428,3555,6445,0.75,0.86,0.64,0.77,0.71
41,8571,1429,3554,6446,0.75,0.86,0.64,0.77,0.71
42,8570,1430,3553,6447,0.75,0.86,0.64,0.77,0.71
43,8569,1431,3552,6448,0.75,0.86,0.64,0.77,0.71
44,8568,1432,3551,6449,0.75,0.86,0.64,0.77,0.71
45,8583,1417,3567,6433,0.75,0.86,0.64,0.77,0.71
46,8582,1418,3566,6434,0.75,0.86,0.64,0.77,0.71
47,8581,1419,3565,6435,0.75,0.86,0.64,0.77,0.71
48,8580,1420,3564,6436,0.75,0.86,0.64,0.77,0.71
49,8579,1421,3563,6437,0.75,0.86,0.64,0.77,0.71
50,8578,1422,3562,6438,0.75,0.86,0.64,0.77,0.71
51,8577,1423,3561,6439,0.75,0.86,0.64,0.77,0.71
52,8576,1424,3560,6440,0.75,0.86,0.64,0.77,0.71
53,8575,1425,3559,6441,0.75,0.86,0.64,0.77,0.71
54,8574,1426,3558,6442,0.75,0.86,0.64,0.77,0.71
55,8573,1427,3557,6443,0.75,0.86,0.64,0.77,0.71
56,8572,1428,3556,6444,0.75,0.86,0.64,0.77,0.71
57,8571,1429,3555,6445,0.75,0.86,0.64,0.77,0.71
58,8570,1430,3554,6446,0.75,0.86,0.64,0.77,0.71
59,8569,1431,3553,6447,0.75,0.86,0.64,0.77,0.71
60,8568,1432,3552,6448,0.75,0.86,0.64,0.77,0.71
61,8567,1433,3551,6449,0.75,0.86,0.64,0.77,0.71
62,8585,1415,3570,6430,0.75,0.86,0.64,0.77,0.71
63,8584,1416,3569,6431,0.75,0.86,0.64,0.77,0.71
64,8583,1417,3568,6432,0.75,0.86,0.64,0.77,0.71
65,8582,1418,3567,6433,0.75,0.86,0.64,0.77,0.71
66,8581,1419,3566,6434,0.75,0.86,0.64,0.77,0.71
67,8580,1420,3565,6435,0.75,0.86,0.64,0.77,0.71
68,8579,1421,3564,6436,0.75,0.86,0.64,0.77,0.71
69,8578,1422,3563,6437,0.75,0.86,0.64,0.77,0.71
70,8577,1423,3562,6438,0.75,0.86,0.64,0.77,0.71
71,8576,1424,3561,6439,0.75,0.86,0.64,0.77,0.71
72,8575,1425,3560,6440,0.75,0.86,0.64,0.77,0.71
73,8574,1426,3559,6441,0.75,0.86,0.64,0.77,0.71
74,8573,1427,3558,6442,0.75,0.86,0.64,0.77,0.71
75,8572,1428,3557,6443,0.75,0.86,0.64,0.77,0.71
76,8571,1429,3556,6444,0.75,0.86,0.64,0.77,0.71
77,8570,1430,3555,6445,0.75,0.86,0.64,0.77,0.71
78,8569,1431,3554,6446,0.75,0.86,0.64,0.77,0.71
79,8568,1432,3553,6447,0.75,0.86,0.64,0.77,0.71
80,8567,1433,3552,6448,0.75,0.86,0.64,0.77,0.71
81,8566,1434,3551,6449,0.75,0.86,0.64,0.77,0.71
82,8586,1414,3572,6428,0.75,0.86,0.64,0.77,0.71
83,8585,1415,3571,6429,0.75,0.86,0.64,0.77,0.71
84,8584,1416,3570,6430,0.75,0.86,0.64,0.77,0.71
85,8583,1417,3569,6431,0.75,0.86,0.64,0.77,0.71
86,8582,1418,3568,6432,0.75,0.86,0.64,0.77,0.71
87,8581,1419,3567,6433,0.75,0.86,0.64,0.77,0.71
88,8580,1420,3566,6434,0.75,0.86,0.64,0.77,0.71
89,8579,1421,3565,6435,0.75,0.86,0.64,0.77,0.71
90,8578,1422,3564,6436,0.75,0.86,0.64,0.77,0.71
91,8577,1423,3563,6437,0.75,0.86,0.64,0.77,0.71
92,8576,1424,3562,6438,0.75,0.86,0.64,0.77,0.71
93,8575,1425,3561,6439,0.75,0.86,0.64,0.77,0.71
94,8574,1426,3560,6440,0.75,0.86,0.64,0.77,0.71
95,8573,1427,3559,6441,0.75,0.86,0.64,0.77,0.71
96,8572,1428,3558,6442,0.75,0.86,0.64,0.77,0.71
97,8571,1429,3557,6443,0.75,0.86,0.64,0.77,0.71
98,8570,1430,3556,6444,0.75,0.86,0.64,0.77,0.71
99,8569,1431,3555,6445,0.75,0.86,0.64,0.77,0.71
100,8568,1432,3554,6446,0.75,0.86,0.64,0.77,0.71
101,8567,1433,3553,6447,0.75,0.86,0.64,0.77,0.71
102,8566,1434,3552,6448,0.75,0.86,0.64,0.77,0.71
103,8565,1435,3551,6449,0.75,0.86,0.64,0.77,0.71
104,8588,1412,3575,6425,0.75,0.86,0.64,0.77,0.71
105,8587,1413,3574,6426,0.75,0.86,0.64,0.77,0.71
106,8586,1414,3573,6427,0.75,0.86,0.64,0.77,0.71
107,8585,1415,3572,6428,0.75,0.86,0.64,0.77,0.71
108,8584,1416,3571,6429,0.75,0.86,0.64,0.77,0.71
109,8583,1417,3570,6430,0.75,0.86,0.64,0.77,0.71
110,8582,1418,3569,6431,0.75,0.86,0.64,0.77,0.71
111,8581,1419,3568,6432,0.75,0.86,0.64,0.77,0.71
112,8580,1420,3567,6433,0.75,0.86,0.64,0.77,0.71
113,8579,1421,3566,6434,0.75,0.86,0.64,0.77,0.71
114,8578,1422,3565,6435,0.75,0.86,0.64,0.77,0.71
115,8577,1423,3564,6436,0.75,0.86,0.64,0.77,0.71
116,8576,1424,3563,6437,0.75,0.86,0.64,0.77,0.71
117,8575,1425,3562,6438,0.75,0.86,0.64,0.77,0.71
118,8574,1426,3561,6439,0.75,0.86,0.64,0.77,0.71
119,8573,1427,3560,6440,0.75,0.86,0.64,0.77,0.71
120,8572,1428,3559,6441,0.75,0.86,0.64,0.77,0.71
121,8571,1429,3558,6442,0.75,0.86,0.64,0.77,0.71
122,8570,1430,3557,6443,0.75,0.86,0.64,0.77,0.71
123,8569,1431,3556,6444,0.75,0.86,0.64,0.77,0.71
124,8568,1432,3555,6445,0.75,0.86,0.64,0.77,0.71
125,8567,1433,3554,6446,0.75,0.86,0.64,0.77,0.71
126,8566,1434,3553,6447,0.75,0.86,0.64,0.77,0.71
127,8565,1435,3552,6448,0.75,0.86,0.64,0.77,0.71
128,8564,1436,3551,6449,0.75,0.86,0.64,0.77,0.71
129,8590,1410,3578,6422,0.75,0.86,0.64,0.77,0.71
130,8589,1411,3577,6423,0.75,0.86,0.64,0.77,0.71
131,8588,1412,3576,6424,0.75,0.86,0.64,0.77,0.71
132,8587,1413,3575,6425,0.75,0.86,0.64,0.77,0.71
133,8586,1414,3574,6426,0.75,0.86,0.64,0.77,0.71
134,8585,1415,3573,6427,0.75,0.86,0.64,0.77,0.71
135,8584,1416,3572,6428,0.75,0.86,0.64,0.77,0.71
136,8583,1417,3571,6429,0.75,0.86,0.64,0.77,0.71
137,8582,1418,3570,6430,0.75,0.86,0.64,0.77,0.71
138,8581,1419,3569,6431,0.75,0.86,0.64,0.77,0.71
139,8580,1420,3568,6432,0.75,0.86,0.64,0.77,0.71
140,8579,1421,3567,6433,0.75,0.86,0.64,0.77,0.71
141,8578,1422,3566,6434,0.75,0.86,0.64,0.77,0.71
142,8577,1423,3565,6435,0.75,0.86,0.64,0.77,0.71
143,8576,1424,3564,6436,0.75,0.86,0.64,0.77,0.71
144,8575,1425,3563,6437,0.75,0.86,0.64,0.77,0.71
145,8574,1426,3562,6438,0.75,0.86,0.64,0.77,0.71
146,8573,1427,3561,6439,0.75,0.86,0.64,0.77,0.71
147,8572,1428,3560,6440,0.75,0.86,0.64,0.77,0.71
148,8571,1429,3559,6441,0.75,0.86,0.64,0.77,0.71
149,8570,1430,3558,6442,0.75,0.86,0.64,0.77,0.71
150,8569,1431,3557,6443,0.75,0.86,0.64,0.77,0.71
151,8568,1432,3556,6444,0.75,0.86,0.64,0.77,0.71
152,8567,1433,3555,6445,0.75,0.86,0.64,0.77,0.71
153,8566,1434,3554,6446,0.75,0.86,0.64,0.77,0.71
154,8565,1435,3553,6447,0.75,0.86,0.64,0.77,0.71
155,8564,1436,3552,6448,0.75,0.86,0.64,0.77,0.71
156,8563,1437,3551,6449,0.75,0.86,0.64,0.77,0.71
157,8592,1408,3581,6419,0.75,0.86,0.64,0.77,0.71
158,8591,1409,3580,6420,0.75,0.86,0.64,0.77,0.71
159,8590,1410,3579,6421,0.75,0.86,0.64,0.77,0.71
160,8589,1411,3578,6422,0.75,0.86,0.64,0.77,0.71
161,8588,1412,3577,6423,0.75,0.86,0.64,0.77,0.71
162,8587,1413,3576,6424,0.75,0.86,0.64,0.77,0.71
163,8586,1414,3575,6425,0.75,0.86,0.64,0.77,0.71
164,8585,1415,3574,6426,0.75,0.86,0.64,0.77,0.71
165,8584,1416,3573,6427,0.75,0.86,0.64,0.77,0.71
166,8583,1417,3572,6428,0.75,0.86,0.64,0.77,0.71
167,8582,1418,3571,6429,0.75,0.86,0.64,0.77,0.71
168,8581,1419,3570,6430,0.75,0.86,0.64,0.77,0.71
169,8580,1420,3569,6431,0.75,0.86,0.64,0.77,0.71
170,8579,1421,3568,6432,0.75,0.86,0.64,0.77,0.71
171,8578,1422,3567,6433,0.75,0.86,0.64,0.77,0.71
172,8577,1423,3566,6434,0.75,0.86,0.64,0.77,0.71
173,8576,1424,3565,6435,0.75,0.86,0.64,0.77,0.71
174,8575,1425,3564,6436,0.75,0.86,0.64,0.77,0.71
175,8574,1426,3563,6437,0.75,0.86,0.64,0.77,0.71
176,8573,1427,3562,6438,0.75,0.86,0.64,0.77,0.71
177,8572,1428,3561,6439,0.75,0.86,0.64,0.77,0.71
178,8571,1429,3560,6440,0.75,0.86,0.64,0.77,0.71
179,8570,1430,3559,6441,0.75,0.86,0.64,0.77,0.71
180,8569,1431,3558,6442,0.75,0.86,0.64,0.77,0.71
181,8568,1432,3557,6443,0.75,0.86,0.64,0.77,0.71
182,8567,1433,3556,6444,0.75,0.86,0.64,0.77,0.71
183,8566,1434,3555,6445,0.75,0.86,0.64,0.77,0.71
184,8565,1435,3554,6446,0.75,0.86,0.64,0.77,0.71
185,8564,1436,3553,6447,0.75,0.86,0.64,0.77,0.71
186,8563,1437,3552,6448,0.75,0.86,0.64,0.77,0.71
187,8562,1438,3551,6449,0.75,0.86,0.64,0.77,0.71
188,8593,1407,3583,6417,0.75,0.86,0.64,0.77,0.71
189,8592,1408,3582,6418,0.75,0.86,0.64,0.77,0.71
190,8591,1409,3581,6419,0.75,0.86,0.64,0.77,0.71
191,8590,1410,3580,6420,0.75,0.86,0.64,0.77,0.71
192,8589,1411,3579,6421,0.75,0.86,0.64,0.77,0.71
193,8588,1412,3578,6422,0.75,0.86,0.64,0.77,0.71
194,8587,1413,3577,6423,0.75,0.86,0.64,0.77,0.71
195,8586,1414,3576,6424,0.75,0.86,0.64,0.77,0.71
196,8585,1415,3575,6425,0.75,0.86,0.64,0.77,0.71
197,8584,1416,3574,6426,0.75,0.86,0.64,0.77,0.71
198,8583,1417,3573,6427,0.75,0.86,0.64,0.77,0.71
199,8582,1418,3572,6428,0.75,0.86,0.64,0.77,0.71
200,8581,1419,3571,6429,0.75,0.86,0.64,0.77,0.71
201,8580,1420,3570,6430,0.75,0.86,0.64,0.77,0.71
202,8579,1421,3569,6431,0.75,0.86,0.64,0.77,0.71
203,8578,1422,3568,6432,0.75,0.86,0.64,0.77,0.71
204,8577,1423,3567,6433,0.75,0.86,0.64,0.77,0.71
205,8576,1424,3566,6434,0.75,0.86,0.64,0.77,0.71
206,8575,1425,3565,6435,0.75,0.86,0.64,0.77,0.71
207,8574,1426,3564,6436,0.75,0.86,0.64,0.77,0.71
208,8573,1427,3563,6437,0.75,0.86,0.64,0.77,0.71
209,8572,1428,3562,6438,0.75,0.86,0.64,0.77,0.71
210,8571,1429,3561,6439,0.75,0.86,0.64,0.77,0.71
211,8570,1430,3560,6440,0.75,0.86,0.64,0.77,0.71
212,8569,1431,3559,6441,0.75,0.86,0.64,0.77,0.71
213,8568,1432,3558,6442,0.75,0.86,0.64,0.77,0.71
214,8567,1433,3557,6443,0.75,0.86,0.64,0.77,0.71
215,8566,1434,3556,6444,0.75,0.86,0.64,0.77,0.71
216,8565,1435,3555,6445,0.75,0.86,0.64,0.77,0.71
217,8564,1436,3554,6446,0.75,0.86,0.64,0.77,0.71
218,8563,1437,3553,6447,0.75,0.86,0.64,0.77,0.71
219,8562,1438,3552,6448,0.75,0.86,0.64,0.77,0.71
220,8561,1439,3551,6449,0.75,0.86,0.64,0.77,0.71
221,8595,1405,3586,6414,0.75,0.86,0.64,0.77,0.71
222,8594,1406,3585,6415,0.75,0.86,0.64,0.77,0.71
223,8593,1407,3584,6416,0.75,0.86,0.64,0.77,0.71
224,8592,1408,3583,6417,0.75,0.86,0.64,0.77,0.71
225,8591,1409,3582,6418,0.75,0.86,0.64,0.77,0.71
226,8590,1410,3581,6419,0.75,0.86,0.64,0.77,0.71
227,8589,1411,3580,6420,0.75,0.86,0.64,0.77,0.71
228,8588,1412,3579,6421,0.75,0.86,0.64,0.77,0.71
229,8587,1413,3578,6422,0.75,0.86,0.64,0.77,0.71
230,8586,1414,3577,6423,0.75,0.86,0.64,0.77,0.71
231,8585,1415,3576,6424,0.75,0.86,0.64,0.77,0.71
232,8584,1416,3575,6425,0.75,0.86,0.64,0.77,0.71
233,8583,1417,3574,6426,0.75,0.86,0.64,0.77,0.71
234,8582,1418,3573,6427,0.75,0.86,0.64,0.77,0.71
235,8581,1419,3572,6428,0.75,0.86,0.64,0.77,0.71
236,8580,1420,3571,6429,0.75,0.86,0.64,0.77,0.71
237,8579,1421,3570,6430,0.75,0.86,0.64,0.77,0.71
238,8578,1422,3569,6431,0.75,0.86,0.64,0.77,0.71
239,8577,1423,3568,6432,0.75,0.86,0.64,0.77,0.71
240,8576,1424,3567,6433,0.75,0.86,0.64,0.77,0.71
241,8575,1425,3566,6434,0.75,0.86,0.64,0.77,0.71
242,8574,1426,3565,6435,0.75,0.86,0.64,0.77,0.71
243,8573,1427,3564,6436,0.75,0.86,0.64,0.77,0.71
244,8572,1428,3563,6437,0.75,0.86,0.64,0.77,0.71
245,8571,1429,3562,6438,0.75,0.86,0.64,0.77,0.71
246,8570,1430,3561,6439,0.75,0.86,0.64,0.77,0.71
